Ente;Ano;Mes;ProcessoLicitatorio;Participante;Resultado;TipoParticipacao;DataHomologacao;Modalidade;Objeto;QuantidadeParticipante;ValorHomologacao;Tipologia;ValorEstimado
ANGRA DOS REIS;2026;1;SEI-2025-04000784;.. AILTON BASTOS DIAS;VENCEDOR;COMUM;2026-02-13;CHAMAMENTO PÚBLICO;"CREDENCIAMENTO DE EMPRESAS, COM ATUAÇÃO NO COMÉRCIO VAREJISTA DE ARTIGOS DE PAPELARIA; COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMÁTICA E ESTABELECIMENTOS COMERCIAIS, COM ";195;1.95;CHAMAMENTO PÚBLICO;1.95
ANGRA DOS REIS;2026;1;SEI-2025-04000784; PONTOS COSTA DE OLIVEIRA LTDA;VENCEDOR;COMUM;2026-02-13;CHAMAMENTO PÚBLICO;"CREDENCIAMENTO DE EMPRESAS, COM ATUAÇÃO NO COMÉRCIO VAREJISTA DE ARTIGOS DE PAPELARIA; COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMÁTICA E ESTABELECIMENTOS COMERCIAIS, COM ";195;1.95;CHAMAMENTO PÚBLICO;1.95
ANGRA DOS REIS;2026;1;SEI-2025-04000784;.. ADRIANA MORAIS DE LIMA SILVA;VENCEDOR;COMUM;2026-02-13;CHAMAMENTO PÚBLICO;"CREDENCIAMENTO DE EMPRESAS, COM ATUAÇÃO NO COMÉRCIO VAREJISTA DE ARTIGOS DE PAPELARIA; COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMÁTICA E ESTABELECIMENTOS COMERCIAIS, COM ";195;1.95;CHAMAMENTO PÚBLICO;1.95
ANGRA DOS REIS;2026;1;SEI-2025-04000784;.. GEORGE SOUSA DA SILVA;VENCEDOR;COMUM;2026-02-13;CHAMAMENTO PÚBLICO;"CREDENCIAMENTO DE EMPRESAS, COM ATUAÇÃO NO COMÉRCIO VAREJISTA DE ARTIGOS DE PAPELARIA; COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMÁTICA E ESTABELECIMENTOS COMERCIAIS, COM ";195;1.95;CHAMAMENTO PÚBLICO;1.95
ANGRA DOS REIS;2026;1;SEI-2025-04000784;.. AMARILDA BARROS DO NASCIMENTO;VENCEDOR;COMUM;2026-02-13;CHAMAMENTO PÚBLICO;"CREDENCIAMENTO DE EMPRESAS, COM ATUAÇÃO NO COMÉRCIO VAREJISTA DE ARTIGOS DE PAPELARIA; COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMÁTICA E ESTABELECIMENTOS COMERCIAIS, COM ";195;1.95;CHAMAMENTO PÚBLICO;1.95
ANGRA DOS REIS;2026;1;SEI-2025-04000784;.. ANGELA MARIA DA SILVA GALDINO;VENCEDOR;COMUM;2026-02-13;CHAMAMENTO PÚBLICO;"CREDENCIAMENTO DE EMPRESAS, COM ATUAÇÃO NO COMÉRCIO VAREJISTA DE ARTIGOS DE PAPELARIA; COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMÁTICA E ESTABELECIMENTOS COMERCIAIS, COM ";195;1.95;CHAMAMENTO PÚBLICO;1.95
ANGRA DOS REIS;2026;1;SEI-2025-04000784;.. ADRIANA QUINTINO DE SOUZA MATOS;VENCEDOR;COMUM;2026-02-13;CHAMAMENTO PÚBLICO;"CREDENCIAMENTO DE EMPRESAS, COM ATUAÇÃO NO COMÉRCIO VAREJISTA DE ARTIGOS DE PAPELARIA; COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMÁTICA E ESTABELECIMENTOS COMERCIAIS, COM ";195;1.95;CHAMAMENTO PÚBLICO;1.95
ANGRA DOS REIS;2026;1;SEI-2025-04000784;.. GLEICE PAULA DIAS LIRA;VENCEDOR;COMUM;2026-02-13;CHAMAMENTO PÚBLICO;"CREDENCIAMENTO DE EMPRESAS, COM ATUAÇÃO NO COMÉRCIO VAREJISTA DE ARTIGOS DE PAPELARIA; COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMÁTICA E ESTABELECIMENTOS COMERCIAIS, COM ";195;1.95;CHAMAMENTO PÚBLICO;1.95
ANGRA DOS REIS;2026;1;SEI-2025-04000784;.. ANA CAROLINE FIRME BESERRA;VENCEDOR;COMUM;2026-02-13;CHAMAMENTO PÚBLICO;"CREDENCIAMENTO DE EMPRESAS, COM ATUAÇÃO NO COMÉRCIO VAREJISTA DE ARTIGOS DE PAPELARIA; COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMÁTICA E ESTABELECIMENTOS COMERCIAIS, COM ";195;1.95;CHAMAMENTO PÚBLICO;1.95
ANGRA DOS REIS;2026;1;SEI-2025-04000784;.. CELSO GUIMARAES;VENCEDOR;COMUM;2026-02-13;CHAMAMENTO PÚBLICO;"CREDENCIAMENTO DE EMPRESAS, COM ATUAÇÃO NO COMÉRCIO VAREJISTA DE ARTIGOS DE PAPELARIA; COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMÁTICA E ESTABELECIMENTOS COMERCIAIS, COM ";195;1.95;CHAMAMENTO PÚBLICO;1.95
